old,name,SMILES,contribution,E(T),SPP,SB,SA,Alpha,Beta,Pai_star,Epsilon,nD20 (g),Delta d,Delta p,Delta h,Delta,f(n2),Abraham_hydrogen_bond_acidity,Abraham_hydrogen_bond_basicity,gama(macroscopic_surface_tension),aromaticity,electronegative_halogenicity,note
AA,乙酸,CC(=O)O,,,,,,,,,,,,,,,,,,,,,
AN,乙腈,CC#N,,,,,,,,,,,,,,,,,,,,,
Acetone,丙酮,CC(C)=O,,,,,,,,,,,,,,,,,,,,,
Benzene,苯,c1ccccc1,,,,,,,,,,,,,,,,,,,,,
CB,氯苯,Clc1ccccc1,,,,,,,,,,,,,,,,,,,,,
CHA,环己胺,,,,,,,,,,,,,,,,,,,,,,
D2O,,,,,,,,,,,,,,,,,,,,,,,
DCE,,ClCCCl,,,,,,,,,,,,,,,,,,,,,
DMF,,CN(C)C=O,,,,,,,,,,,,,,,,,,,,,
DMF_66%,,CN(C)C=O,,,,,,,,,,,,,,,,,,,,,
DMSO,,CS(C)=O,,,,,,,,,,,,,,,,,,,,,
Diox_20%,,C1COCCO1,,,,,,,,,,,,,,,,,,,,,
Diox_50%,,C1COCCO1,,,,,,,,,,,,,,,,,,,,,
Diox_75%,,C1COCCO1,,,,,,,,,,,,,,,,,,,,,
Diox_80%,,C1COCCO1,,,,,,,,,,,,,,,,,,,,,
EtOH,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_10%,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_25%,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_50%,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_60%,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_95%,,CCO,,,,,,,,,,,,,,,,,,,,,
EtOH_96%,,CCO,,,,,,,,,,,,,,,,,,,,,
FA,甲酸,O=CO,,,,,,,,,,,,,,,,,,,,,
H2O,,O,,,,,,,,,,,,,,,,,,,,,
MC_80%,甲基纤维素,,,,,,,,,,,,,,,,,,,,,,
MIBK,甲基异丁基（甲）酮,CC(=O)CC(C)C,,,,,,,,,,,,,,,,,,,,,
MeOH,,CO,,,,,,,,,,,,,,,,,,,,,
MeOH_10%,,CO,,,,,,,,,,,,,,,,,,,,,
MeOH_50%,,CO,,,,,,,,,,,,,,,,,,,,,
MeOH_80%,,CO,,,,,,,,,,,,,,,,,,,,,
MeOH_95%,,CO,,,,,,,,,,,,,,,,,,,,,
NMA,硝基甲烷,C[N+](=O)[O-],,,,,,,,,,,,,,,,,,,,,
NMP,,CN1CCCC1=O,,,,,,,,,,,,,,,,,,,,,
Py,,c1ccncc1,,,,,,,,,,,,,,,,,,,,,
THF,,C1CCOC1,,,,,,,,,,,,,,,,,,,,,
THF_50%,,C1CCOC1,,,,,,,,,,,,,,,,,,,,,
iPrOH,,CC(C)O,,,,,,,,,,,,,,,,,,,,,
tBuOH,,,,,,,,,,,,,,,,,,,,,,,
Diox,,C1COCCO1,,,,,,,,,,,,,,,,,,,,,
MC,,,,,,,,,,,,,,,,,,,,,,,
